bin,name,oked,industry,kato,settlement,krp,company_size,region,source_url
010440002379,"РЕСПУБЛИКАНСКОЕ ГОС. ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ВОСТОЧНО-КАЗАХСТАНСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ Д. СЕРИКБАЕВА"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,631010000,г. Усть-Каменогорск,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
020240005823,"ТОО ""КАЗЦИНК-ТРАНС""",49410,Грузовые перевозки автомобильным транспортом,631010000,г. Усть-Каменогорск,311,Крупная компания (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
020940001509,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ӨСКЕМЕН ВОДОКАНАЛ"" АКИМАТА ГОРОДА УСТЬ-КАМЕНОГОРСКА",36000,"Сбор, обработка и распределение воды",631010000,г. Усть-Каменогорск,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
021240000409,"ТОО ""КАРАЖЫРА ЛТД""",05101,Добыча каменного угля открытым способом,632810000,г. Семей,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
030340004913,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ГОСУДАРСТВЕННЫЙ ЛЕСНОЙ ПРИРОДНЫЙ РЕЗЕРВАТ ""СЕМЕЙ ОРМАНЫ"" КОМИТЕТА ЛЕСНОГО И ОХОТНИЧЬЕГО ХОЗЯЙСТВА МИНИСТЕРСТВА ОХРАНЫ ОКРУЖАЮЩЕЙ СРЕДЫ РЕСПУБЛИКИ КАЗАХСТАН",84120,"Регулирование деятельности учреждений, обеспечивающих медицинское обслуживание, образование, культурное обслуживание и другие социальные услуги, кроме социального обеспечения",632810000,г. Семей,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
030840005887,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ ""ТЕПЛОКОММУНЭНЕРГО"" ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""ОТДЕЛ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА, ПАССАЖИРСКОГО ТРАНСПОРТА И АВТОМОБИЛЬНЫХ ДОРОГ ГОРОДА СЕМЕЙ"", НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ",35302,Производство тепловой энергии самостоятельными котельными,632810000,г. Семей,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
031140005329,"ТОО ""КАЗЦИНКМАШ""",25620,Машинная обработка; обработка и покрытие металлов,632410000,г. Риддер,311,Крупная компания (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
040740006655,"ТОО ""КАЗЦИНК-РЕМСЕРВИС""",33125,Ремонт и техническое обслуживание прочих машин и оборудования специального назначения,631010000,г. Усть-Каменогорск,311,Крупная компания (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
041140005787,"АО ""ФИНАНСОВО-ИНВЕСТИЦИОННАЯ КОРПОРАЦИЯ ""АЛЕЛ""",24410,Производство благородных (драгоценных) металлов,632810000,г. Семей,311,Крупная компания (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
060340000070,"ТОО ""ЦЕМЕНТНЫЙ ЗАВОД СЕМЕЙ""",23510,"Производство цемента, включая клинкеры",632810000,г. Семей,311,Крупная компания (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
071140024977,"КОММУНАЛЬНОЕ ГОС. ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ЦЕНТР МАТЕРИ И РЕБЕНКА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ВОСТОЧНО-КАЗАХСТАНСКОГО ОБЛАСТНОГО АКИМАТА",86101,Деятельность больниц широкого профиля и специализированных больниц,631010000,г. Усть-Каменогорск,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
080940019225,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА ПОЖАРОТУШЕНИЯ И АВАРИЙНО-СПАСАТЕЛЬНЫХ РАБОТ"" ДЕПАРТАМЕНТА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ ВОСТОЧНО-КАЗАХСТАНСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ РЕСПУБЛИКИ КАЗАХСТАН",84250,Деятельность по обеспечению безопасности в чрезвычайных ситуациях,631010000,г. Усть-Каменогорск,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
091142015010,"ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРПОРАЦИЯ КАЗАХМЫС"" - ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ВОСТОКЦВЕТМЕТ""",07292,Добыча и обогащение медной руды,631010000,г. Усть-Каменогорск,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
091240008010,"ТОО ""БИПЭК АВТО КАЗАХСТАН""",45112,Розничная продажа автомобилей и легковых автотранспортных средств,631010000,г. Усть-Каменогорск,311,Крупная компания (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
100440011476,"ТОО ""ПРОСЕРВИС ВОСТОК""",56290,Прочие виды организации питания,631010000,г. Усть-Каменогорск,311,Крупная компания (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
101140003724,"ТОО ""ALTYNTAU VOSTOK"" (ТОО ""ALTYNTAU VOSTOK"")",09900,Техническая поддержка для прочих областей горнодобывающей промышленности и подземной разработки,631010000,г. Усть-Каменогорск,311,Крупная компания (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
101240019269,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""КАНЦЕЛЯРИЯ ВОСТОЧНО-КАЗАХСТАНСКОГО ОБЛАСТНОГО СУДА ДЕПАРТАМЕНТА ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ СУДОВ ПРИ ВЕРХОВНОМ СУДЕ РЕСПУБЛИКИ КАЗАХСТАН (АППАРАТА ВЕРХОВНОГО СУДА РЕСПУБЛИКИ КАЗАХСТАН)""",84230,Деятельность в области юстиции и правосудия,631010000,г. Усть-Каменогорск,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
130440013041,"КОММУНАЛЬНОЕ ГОС. ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА ЗЫРЯНОВСКОГО РАЙОНА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ВОСТОЧНО-КАЗАХСТАНСКОГО ОБЛАСТНОГО АКИМАТА",86101,Деятельность больниц широкого профиля и специализированных больниц,632010000,г. Зыряновск,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
130840007973,"РЕСПУБЛИКАНСКОЕ ГОС. ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ ШАКАРИМА ГОРОДА СЕМЕЙ"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,632810000,г. Семей,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
140740012829,"ТОО ""ВОСТОКЦВЕТМЕТ""",07292,Добыча и обогащение медной руды,631010000,г. Усть-Каменогорск,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
940640000511,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ДЕПАРТАМЕНТ ВНУТРЕННИХ ДЕЛ ВОСТОЧНО-КАЗАХСТАНСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН""",84240,Деятельность по обеспечению общественного порядка и безопасности,631010000,г. Усть-Каменогорск,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
941040000097,"АО ""УЛЬБИНСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД""",20130,Производство прочих основных неорганических химических веществ,631010000,г. Усть-Каменогорск,311,Крупная компания (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
950341000210,"ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТНАЯ ДИРЕКЦИЯ ТЕЛЕКОММУНИКАЦИЙ-ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАХТЕЛЕКОМ""",61100,Проводная телекоммуникационная связь,631010000,г. Усть-Каменогорск,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
950940000178,"АО ""УСТЬ-КАМЕНОГОРСКИЙ ТИТАНО-МАГНИЕВЫЙ КОМБИНАТ""",24452,"Производство титана и магния, вольфрама и молибдена",631010000,г. Усть-Каменогорск,311,Крупная компания (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
951240000551,"АО ""ВОСТОКМАШЗАВОД""",24520,Литье стали,631010000,г. Усть-Каменогорск,311,Крупная компания (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
970140000211,"ТОО ""КАЗЦИНК""",24430,"Производство свинца, цинка и олова",631010000,г. Усть-Каменогорск,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
990240001722,"РЕСПУБЛИКАНСКОЕ ГОС. ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""НАЦИОНАЛЬНЫЙ ЯДЕРНЫЙ ЦЕНТР РЕСПУБЛИКИ КАЗАХСТАН"" АГЕНТСТВА РЕСПУБЛИКИ КАЗАХСТАН ПО АТОМНОЙ ЭНЕРГИИ",72190,Прочие исследования и разработки в области естественных наук и инженерии,632210000,г. Курчатов,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
990240007414,"РЕСПУБЛИКАНСКОЕ ГОС. ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ВОСТОЧНО-КАЗАХСТАНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ САРСЕНА АМАНЖОЛОВА"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,631010000,г. Усть-Каменогорск,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
990340008684,"РЕСПУБЛИКАНСКОЕ ГОС. ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ ГОРОДА СЕМЕЙ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,632810000,г. Семей,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
990340009444,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 27943"" МИНИСТЕРСТВА ОБОРОНЫ РЕСПУБЛИКИ КАЗАХСТАН",84220,Оборонная деятельность,631000500,с. HОВО-АХМИРОВО,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
990540001228,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 10810"" МИНИСТЕРСТВА ОБОРОНЫ РЕСПУБЛИКИ КАЗАХСТАН",84220,Оборонная деятельность,631810000,г. Аягоз,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
990740000108,"АО ""УСТЬ-КАМЕНОГОРСКИЙ АРМАТУРНЫЙ ЗАВОД""",28140,Производство прочих кранов и вентилей,631010000,г. Усть-Каменогорск,311,Крупная компания (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
